Simulation Duration,Received Current Data,Received Voltage Data,Received Temperature Data,Received Humidty Data,Received Wind Speed Data,Received Global Irradiance Data,Up Time,ToCurrent,ToRad,ToHum,ToTemp,ToVoltage,ToWind,wimax,wlan,totalUpload
486,14400,14400,2,2,6,200,0.152390416144,158400,2200,22,22,158400,66,0.044161482036,0.001534536324,0.39717449265
492,14400,14400,2,2,6,200,0.152477596283,158400,2200,22,22,158400,66,0.044159709728,0.001535788998,0.397177380703
498,14400,14400,2,2,6,200,0.152430786846,158400,2200,22,22,158400,66,0.044157916103,0.001536942676,0.397173568097
504,14400,14400,2,2,6,200,0.15241303242,158400,2200,22,22,158400,66,0.044158326126,0.001536948025,0.39717906252
510,14400,14400,2,2,6,200,0.152502199168,158400,2200,22,22,158400,66,0.044159252835,0.001538064104,0.397181042152
516,14400,14400,2,2,6,200,0.152464937691,158400,2200,22,22,158400,66,0.044159282894,0.001537549908,0.397181753985
522,14400,14400,2,2,6,200,0.152533140907,158400,2200,22,22,158400,66,0.044159459835,0.001537394465,0.397185401878
528,14400,14400,2,2,6,200,0.152459066443,158400,2200,22,22,158400,66,0.044158748072,0.001536789448,0.397173749026
534,14400,14400,2,2,6,200,0.152412377889,158400,2200,22,22,158400,66,0.04415992293,0.001537238833,0.397182541014
540,14400,14400,2,2,6,200,0.152578783775,158400,2200,22,22,158400,66,0.044160256469,0.001537800127,0.39719166483
546,14400,14400,2,2,6,200,0.15253979538,158400,2200,22,22,158400,66,0.044158639939,0.001537933217,0.397193567106
552,14400,14400,2,2,6,200,0.152480793361,158400,2200,22,22,158400,66,0.04415862157,0.001537604258,0.397186367129
558,14400,14400,2,2,6,200,0.152431694211,158400,2200,22,22,158400,66,0.044157995396,0.00153782016,0.397190440687
564,14400,14400,2,2,6,200,0.15238341228,158400,2200,22,22,158400,66,0.044159016879,0.001539923699,0.397192437786
570,14400,14400,2,2,6,200,0.152351092904,158400,2200,22,22,158400,66,0.044159092849,0.001539785981,0.397190959775
576,14400,14400,2,2,6,200,0.152432591993,158400,2200,22,22,158400,66,0.044157959337,0.001539678642,0.397178865302
582,14400,14400,2,2,6,200,0.152423531291,158400,2200,22,22,158400,66,0.04415807564,0.0015395117,0.397176851462
588,14400,14400,2,2,6,200,0.152392011695,158400,2200,22,22,158400,66,0.044158870415,0.001538869073,0.397177584867
594,14400,14400,2,2,6,200,0.152457364128,158400,2200,22,22,158400,66,0.044158642696,0.001539330771,0.397183999557
600,14400,14400,2,2,6,200,0.152457364128,158400,2200,22,22,158400,66,0.044158642696,0.001539330771,0.397183999557
